28121, 21691, 10, 1
44429, 22667, 10, 2
39469, 21251, 10, 3
33019, 19650, 10, 4
47711, 23121, 10, 5
44892, 22417, 10, 6
35681, 19722, 10, 7
43741, 21154, 10, 8
36076, 19870, 10, 9
39751, 20990, 10, 10
46055, 22179, 10, 11
38419, 20198, 10, 12
45433, 21690, 10, 13
46044, 22339, 10, 14
29336, 19455, 10, 15
47071, 23582, 10, 16
58342, 24651, 10, 17
44645, 23461, 10, 18
21888, 21326, 10, 19
58110, 42023, 10, 20
34434, 19572, 10, 21
25048, 17938, 10, 22
46881, 23047, 10, 23
43724, 21438, 10, 24
24380, 18250, 10, 25
23476, 17207, 10, 26
33521, 20068, 10, 27
29018, 18712, 10, 28
40801, 22062, 10, 29
24923, 17920, 10, 30
42323, 21762, 10, 31
48743, 22307, 10, 32
39030, 19805, 10, 33
34714, 20769, 10, 34
52855, 23790, 10, 35
32875, 19459, 10, 36
27272, 17812, 10, 37
49220, 51524, 10, 38
36810, 20086, 10, 39
37828, 21304, 10, 40
45618, 22621, 10, 41
41646, 20663, 10, 42
49408, 24007, 10, 43
29287, 18432, 10, 44
34042, 19117, 10, 45
42654, 21463, 10, 46
29193, 18447, 10, 47
33170, 19396, 10, 48
28208, 17780, 10, 49
53105, 24212, 10, 50
