8219, 21, 10, 1
4882, 23, 10, 2
7942, 43, 10, 3
25982, 99, 10, 4
15329, 58, 10, 5
24913, 135, 10, 6
5864, 143, 10, 7
30024, 255, 10, 8
21221, 43, 10, 9
10757, 75, 10, 10
24961, 150, 10, 11
9361, 160, 10, 12
21776, 249, 10, 13
16446, 311, 10, 14
7522, 328, 10, 15
32708, 406, 10, 16
20555, 83, 10, 17
25530, 153, 10, 18
6402, 160, 10, 19
4780, 161, 10, 20
5076, 162, 10, 21
7679, 180, 10, 22
14795, 42, 10, 23
21437, 116, 10, 24
52110, 296, 10, 25
33016, 433, 10, 26
15474, 464, 10, 27
34093, 587, 10, 28
8542, 612, 10, 29
22535, 676, 10, 30
8663, 690, 10, 31
7257, 8, 10, 32
42055, 211, 10, 33
14336, 254, 10, 34
8996, 277, 10, 35
16791, 52, 10, 36
5794, 59, 10, 37
30406, 138, 10, 38
6878, 152, 10, 39
6160, 164, 10, 40
21878, 226, 10, 41
15402, 284, 10, 42
17967, 343, 10, 43
7911, 22, 10, 44
25849, 125, 10, 45
13529, 172, 10, 46
13245, 217, 10, 47
26927, 257, 10, 48
9604, 27, 10, 49
26825, 87, 10, 50
