0, 0, 0, 0, 0, 0, 0
4584, 8868, 165444.676512621, 1654.44676512621, 94.4780123302342, 1, 35.3896155830473
8671, 12414, 322254.700091396, 3222.54700091396, 97.5216168301554, 2, 83.2950731435418
14050, 15627, 531520.012082987, 5315.20012082987, 95.8720166704052, 3, 58.2883574676886
18596, 19900, 704844.240069076, 7048.44240069076, 99.1848157364875, 4, 260.363831243515
19215, 20021, 729402.164270367, 7294.02164270367, 99.3592208495738, 5, 263.376328909397
20351, 20250, 774425.009893764, 7744.25009893764, 99.0320111898336, 6, 255.956431951523
20880, 20340, 795414.372871738, 7954.14372871738, 99.196416675225, 7, 264.147772437446
21428, 20429, 817176.815762158, 8171.76815762158, 99.2700136104231, 8, 292.817319502831
21960, 20585, 838187.978859287, 8381.87978859287, 98.7716112531725, 9, 256.806586717442
28121, 21691, 1082683.92807113, 10826.8392807113, 99.4364123934884, 10, 380.255964910686
0, 0, 0, 0, 0, 0, 0
4003, 8161, 143493.073270578, 1434.93073270578, 92.9728196767719, 1, 26.5468048468232
7956, 12027, 294169.457477368, 2941.69457477368, 96.9504176788032, 2, 75.1251180872694
13571, 15081, 513142.927708205, 5131.42927708205, 98.1500141413135, 3, 118.421261939146
14121, 15280, 534779.171917334, 5347.79171917334, 98.2816193004701, 4, 132.879119291529
17497, 16578, 667454.830911502, 6674.54830911502, 98.9024144538862, 5, 173.179993767589
20984, 17501, 805264.930076465, 8052.64930076465, 99.2304102451726, 6, 224.320595061779
21512, 17663, 826111.492202844, 8261.11492202844, 98.8384145046393, 7, 221.816963778734
28085, 19315, 1086080.9684929, 10860.809684929, 98.4272144154456, 8, 164.117958930135
43911, 22588, 1713276.53491178, 17132.7653491178, 99.395209879538, 9, 347.914320850521
44429, 22667, 1733860.13842785, 17338.6013842785, 99.4648176549381, 10, 402.623317674585
0, 0, 0, 0, 0, 0, 0
3447, 7260, 123409.137981839, 1234.09137981839, 91.6748167062178, 1, 25.5704126851633
7373, 11482, 272362.761725083, 2723.62761725083, 96.2680144240335, 2, 54.6011299079657
11819, 14017, 445490.507181663, 4454.90507181663, 97.8948122854526, 3, 113.98613340199
12358, 14225, 466675.070022326, 4666.75070022326, 98.3172118504344, 4, 127.076560759544
12897, 14465, 487775.312422425, 4877.75312422425, 97.7232133364305, 5, 101.001205915213
18398, 16512, 704072.224948835, 7040.72224948835, 98.8400132265315, 6, 200.931006009355
24402, 18120, 941322.778149571, 9413.22778149571, 99.353615063912, 7, 267.884688827992
36975, 20951, 1439294.80853058, 14392.9480853058, 99.5160180968796, 8, 388.506521377564
37514, 21002, 1460749.21241735, 14607.4921241735, 99.4084156504268, 9, 410.815197793841
39469, 21251, 1538486.10321679, 15384.8610321679, 99.2504122909522, 10, 386.221186885834
0, 0, 0, 0, 0, 0, 0
3991, 8124, 143646.941759575, 1436.46941759575, 92.4676166992263, 1, 21.3912078103423
7828, 12018, 289776.926249269, 2897.76926249269, 96.7540128987657, 2, 64.3579560169578
9153, 12744, 341410.093630869, 3414.10093630869, 97.4396120009574, 3, 88.6134724833071
10405, 13254, 390522.260835275, 3905.22260835275, 97.4912177050855, 4, 95.2143222552538
10927, 13483, 410986.144172944, 4109.86144172944, 97.9732201403754, 5, 109.7432309746
19756, 16433, 758798.389685258, 7587.98389685258, 98.5280175561829, 6, 181.808904265501
31432, 19383, 1220539.89294029, 12205.3989294029, 99.2180147663876, 7, 275.10934312582
31957, 19486, 1241354.29554231, 12413.5429554231, 99.0920111360028, 8, 302.116299882755
32479, 19555, 1262105.05819906, 12621.0505819906, 99.468014593609, 9, 295.547331647873
33019, 19650, 1283528.26167803, 12835.2826167803, 99.2508150817084, 10, 285.111737861037
0, 0, 0, 0, 0, 0, 0
2663, 5905, 94397.9816867001, 943.979816867001, 91.5084129146113, 1, 18.8528026462719
7655, 11530, 283369.892973386, 2833.69892973386, 97.0160150681809, 2, 86.1759042936563
11746, 13762, 442999.993300691, 4429.99993300691, 98.2072153141726, 3, 122.418063966632
15429, 15315, 587504.735682908, 5875.04735682908, 98.486015172899, 4, 173.059405049086
17962, 16106, 687392.950345449, 6873.92950345449, 98.9736152087889, 5, 195.57964990139
22907, 17627, 882438.57990941, 8824.3857990941, 98.8124159857616, 6, 191.612485387325
24120, 17883, 930489.827416554, 9304.89827416554, 99.2916127058488, 7, 238.467980335951
46706, 22976, 1824768.27198639, 18247.6827198639, 99.2172144468859, 8, 318.650490765572
47211, 23030, 1844874.11366262, 18448.7411366262, 99.6260114502911, 9, 423.884604721069
47711, 23121, 1864710.27701637, 18647.1027701637, 99.1136172790466, 10, 346.91109294951
0, 0, 0, 0, 0, 0, 0
3606, 7858, 128649.340103421, 1286.49340103421, 92.7232164572924, 1, 23.0016066098958
7322, 12086, 269237.965241585, 2692.37965241585, 96.255614549294, 2, 63.8615017810836
10107, 13969, 377230.822355714, 3772.30822355714, 97.3148124962304, 3, 79.0359528818727
16422, 16524, 625166.535496522, 6251.66535496522, 98.9004115581884, 4, 169.005076466799
21115, 18050, 810156.761596054, 8101.56761596054, 99.0000098301098, 5, 197.607912582755
25426, 19088, 980661.625438623, 9806.61625438623, 98.9348093694443, 6, 206.1254413151
26831, 19293, 1036475.7944173, 10364.757944173, 99.4276198676234, 7, 337.053365185261
27338, 19361, 1056633.75695735, 10566.3375695735, 99.2888134155419, 8, 359.276878517009
38863, 21493, 1513806.858499, 15138.06858499, 99.1196129737036, 9, 287.017784175277
44892, 22417, 1753305.13220226, 17533.0513220226, 99.3992131534214, 10, 342.632916817665
