0, 0, 0
5251, 31, 1
11739, 58, 2
12188, 58, 3
12639, 58, 4
13087, 58, 5
13534, 58, 6
13984, 58, 7
14430, 58, 8
14880, 58, 9
15329, 58, 10
0, 0, 0
5402, 84, 1
21447, 135, 2
21880, 135, 3
22314, 135, 4
22747, 135, 5
23183, 135, 6
23616, 135, 7
24051, 135, 8
24483, 135, 9
24913, 135, 10
0, 0, 0
1812, 143, 1
2259, 143, 2
2710, 143, 3
3158, 143, 4
3605, 143, 5
4056, 143, 6
4510, 143, 7
4960, 143, 8
5409, 143, 9
5864, 143, 10
0, 0, 0
7249, 181, 1
22290, 243, 2
22771, 243, 3
27340, 255, 4
27787, 255, 5
28236, 255, 6
28683, 255, 7
29127, 255, 8
29575, 255, 9
30024, 255, 10
0, 0, 0
3201, 20, 1
4560, 21, 2
5016, 21, 3
5472, 21, 4
5929, 21, 5
6387, 21, 6
6843, 21, 7
7299, 21, 8
7757, 21, 9
8219, 21, 10
0, 0, 0
808, 23, 1
1260, 23, 2
1712, 23, 3
2164, 23, 4
2615, 23, 5
3066, 23, 6
3520, 23, 7
3973, 23, 8
4429, 23, 9
4882, 23, 10
0, 0, 0
3755, 43, 1
4222, 43, 2
4688, 43, 3
5155, 43, 4
5620, 43, 5
6085, 43, 6
6550, 43, 7
7016, 43, 8
7479, 43, 9
7942, 43, 10
0, 0, 0
4418, 63, 1
8913, 79, 2
9376, 79, 3
9838, 79, 4
10299, 79, 5
14758, 86, 6
15215, 86, 7
25088, 99, 8
25533, 99, 9
25982, 99, 10
0, 0, 0
3732, 24, 1
5720, 28, 2
6164, 28, 3
6603, 28, 4
10192, 31, 5
10636, 31, 6
19894, 43, 7
20337, 43, 8
20777, 43, 9
21221, 43, 10
0, 0, 0
6595, 75, 1
7062, 75, 2
7528, 75, 3
7988, 75, 4
8442, 75, 5
8914, 75, 6
9385, 75, 7
9839, 75, 8
10295, 75, 9
10757, 75, 10
0, 0, 0
10315, 125, 1
10777, 125, 2
11239, 125, 3
11701, 125, 4
18235, 142, 5
18687, 142, 6
23554, 150, 7
24025, 150, 8
24491, 150, 9
24961, 150, 10
0, 0, 0
1830, 159, 1
2287, 159, 2
